Title,release_year,IMDb
Why We Fight: The Battle of Russia,1943,7.1
Nazi Concentration Camps,1945,8.3
Let There Be Light,1946,7.4
Professor,1962,7
Once Upon a Time in the West,1968,8.5
Willy Wonka & the Chocolate Factory,1971,7.8
Bawarchi,1972,8
Chupke Chupke,1975,8.4
Monty Python and the Holy Grail,1975,8.2
Taxi Driver,1976,8.3
Amar Akbar Anthony,1977,7.5
The Five Venoms,1978,7.1
Gol Maal,1979,8.6
Richard Pryor: Live in Concert,1979,8.2
Khubsoorat,1980,7.7
Playing for Time,1980,7.4
The Evil Dead,1981,7.5
Bazaar,1982,7.3
Legendary Weapons of China,1982,7
Namak Halaal,1982,7.3
Saath Saath,1982,7.1
Satte Pe Satta,1982,7.2
Eddie Murphy: Delirious,1983,8.2
Indiana Jones and the Temple of Doom,1984,7.6
The Natural,1984,7.5
Adam: His Song Continues,1986,7.2
Ferris Bueller's Day Off,1986,7.8
Sam Kinison: Breaking the Rules,1987,7.3
Painted Faces,1988,7
Quiet Victory: The Charlie Wedemeyer Story,1988,7.7
The Naked Gun: From the Files of Police Squad!,1988,7.6
300 Miles to Heaven,1989,7.2
Bill Hicks: Sane Man,1989,8.5
Indiana Jones and the Last Crusade,1989,8.2
The Ryan White Story,1989,7.3
Agneepath,1990,7.7
Ghayal,1990,7.6
Shiva,1990,8
Tremors,1990,7.1
Bill Hicks: One Night Stand,1991,8.2
Bill Hicks: Relentless,1992,8.7
The Crying Game,1992,7.2
Bill Hicks: Revelations,1993,8.6
Philadelphia,1993,7.7
What's Eating Gilbert Grape,1993,7.8
Andaz Apna Apna,1994,8.2
Kabhi Haan Kabhi Naa,1994,7.8
GoldenEye,1995,7.2
As Good as It Gets,1997,7.7
Austin Powers: International Man of Mystery,1997,7
Chasing Amy,1997,7.2
The Rainmaker,1997,7.2
Jerry Seinfeld: I'm Telling You for the Last Time,1998,7.9
Kuch Kuch Hota Hai,1998,7.6
Scooby-Doo on Zombie Island,1998,7.8
Magnolia,1999,8
Tarzan,1999,7.3
The Matrix,1999,8.7
Blow,2001,7.6
Dil Chahta Hai,2001,8.1
Kabhi Khushi Kabhie Gham,2001,7.4
Kevin James: Sweat the Small Stuff,2001,7.5
Vizontele,2001,8
Y Tu Mamá También,2001,7.6
Equilibrium,2002,7.4
The Ring,2002,7.1
Hazaaron Khwaishein Aisi,2003,7.9
Jhankaar Beats,2003,7.2
Kal Ho Naa Ho,2003,8
Mystic River,2003,7.9
The Gathering,2003,7.2
The Matrix Reloaded,2003,7.2
Chameli,2004,7
Ek Hasina Thi,2004,7.6
Kung Fu Hustle,2004,7.7
Lakshya,2004,7.9
Main Hoon Na,2004,7
Miracle,2004,7.5
Shutter,2004,7.1
Swades,2004,8.2
Whisky,2004,7.1
Yuva,2004,7.4
Gie,2005,7.6
Jim Gaffigan: Beyond the Pale,2005,8
Socha Na Tha,2005,7.5
The Blue Umbrella,2005,7.5
The Death of Mr. Lazarescu,2005,7.9
The Squid and the Whale,2005,7.3
Babel,2006,7.4
Chronicle of an Escape,2006,7.2
Don,2006,7.2
Jeff Dunham: Arguing with Myself,2006,8
Katt Williams: Live,2006,7
Pan's Labyrinth,2006,8.2
Rang De Basanti,2006,8.2
Steal a Pencil for Me,2006,7.5
The Pursuit of Happyness,2006,8
Trailer Park Boys: The Movie,2006,7.2
Zach Galifianakis: Live at the Purple Onion,2006,7.4
Bhool Bhulaiyaa,2007,7.3
Dhamaal,2007,7.3
Guru,2007,7.7
Just Another Love Story,2007,7.2
Namastey London,2007,7.1
Secret,2007,7.5
Shootout at Lokhandwala,2007,7.1
The Aerial,2007,7.4
The Pixar Story,2007,7.8
There Will Be Blood,2007,8.2
Aamir,2008,7.7
Berlin Calling,2008,7.3
Cloverfield,2008,7
Ip Man,2008,8
Jaane Tu... Ya Jaane Na,2008,7.5
Jodhaa Akbar,2008,7.6
Mumbai Meri Jaan,2008,7.7
Oye Lucky! Lucky Oye!,2008,7.7
Rock On!!,2008,7.8
