Title,release_year,IMDb
The Andy Griffith Show,1967,8.3
Star Trek,1968,8.3
Monty Python's Fliegender Zirkus,1972,8.2
Monty Python's Flying Circus,1974,8.8
Dad's Army,1977,8.1
Robotech,1985,8.5
Saint Seiya,1986,8.4
Shaka Zulu,1986,7.7
Pee-wee's Playhouse,1990,8
Twin Peaks,1990,8.8
Cheers,1992,7.8
Star Trek: The Next Generation,1993,8.6
Neon Genesis Evangelion,1995,8.5
The Magic School Bus,1997,7.9
Goosebumps,1998,7.7
Rurouni Kenshin,1998,8.5
Chewin' the Fat,1999,8.2
Mystery Science Theater 3000,1999,8.5
Star Trek: Deep Space Nine,1999,7.9
Star Trek: Voyager,2000,7.8
InuYasha,2001,7.9
North & South,2004,8.6
Star Trek: Enterprise,2004,7.5
The Outsiders,2004,7.4
Cocaine,2005,7
Monty Python's Personal Best,2005,8
That '70s Show,2005,8.1
The Prince Who Turns into a Frog,2005,7.2
The West Wing,2005,8.8
Yu-Gi-Oh!,2005,7.9
Bleach,2006,8.1
Extras,2006,8.3
Gilmore Girls,2006,8.1
Naruto,2006,8.3
Ouran High School Host Club,2006,8.2
The Real Football Factories,2006,7.6
Avatar: The Last Airbender,2007,9.2
Dinner for Five,2007,8.1
Gurren Lagann,2007,8.3
Intelligence,2007,8.2
The 4400,2007,7.3
The Future of Water,2007,7.6
Code Geass: Lelouch of the Rebellion,2008,8.6
Dead Set,2008,7.7
Japanese Style Originator,2008,8.2
Jericho,2008,7.2
Soul Eater,2008,7.8
The Legend of Bruce Lee,2008,7
Vampire Knight,2008,7.5
Autumn's Concerto,2009,8
Boys Over Flowers,2009,8
Cain and Abel,2009,7.7
Einsatzgruppen: The Nazi Death Squads,2009,7.6
Ezel,2009,8.6
Fairy Tail,2009,8
H2O: Just Add Water,2009,7.2
Iris,2009,7.9
Life on Location,2009,7.5
The Universe,2009,8.8
WWII in HD,2009,8.7
Angel Beats!,2010,7.7
Black Butler,2010,7.8
Fullmetal Alchemist: Brotherhood,2010,9.1
Mahi Way,2010,7.8
Rishta.com,2010,8.5
Sym-Bionic Titan,2010,8.1
Teresa,2010,7.7
The Inbetweeners,2010,8.4
The Tudors,2010,8.1
Ex-Boyfriend,2011,7.1
Forensic Files,2011,8.8
Frozen Planet,2011,9
Humsafar,2011,9
Khotey Sikkey,2011,7.3
Land Girls,2011,7
Monty Don's Italian Gardens,2011,8.3
Oscar's Oasis,2011,7.5
Puella Magi Madoka Magica,2011,8.3
The Bomb Squad,2011,7.6
The Code,2011,7.4
The Code,2011,7.4
Way Back into Love,2011,7
